"","id","accuracy_order","social_media_post_removed","social_media_post_flagged","age","gender","education","household_income","race","weight","hispanic","party_id","party_id_dem","party_id_rep","headline_order","remove","censorship","accuracy","harm","headline","headline_orientation","headline_pro_dem","headline_pro_rep","accuracy_binary","social_media_most_common_newsformat","political_interest","aligned"
"54","27",1,0,0,40,1,4,6,"White",1.406,0,"Democrat",1,0,1,1,0,2,0,"headline_pro_dem_4","pro_dem",1,0,0,0,2.75,1
"55","28",0,0,0,70,1,2,3,"White",1.1821,0,"Democrat",1,0,0,0,1,4,0,"headline_pro_dem_2","pro_dem",1,0,1,0,3.25,1
"56","28",0,0,0,70,1,2,3,"White",1.1821,0,"Democrat",1,0,1,0,1,4,0,"headline_pro_rep_2","pro_rep",0,1,1,0,3.25,0
"57","29",1,0,0,48,0,4,7,"White",1.1334,0,"Republican",0,1,0,0,1,2,0,"headline_pro_rep_7","pro_rep",0,1,0,0,2,1
"58","29",1,0,0,48,0,4,7,"White",1.1334,0,"Republican",0,1,1,0,1,3,0,"headline_pro_dem_6","pro_dem",1,0,1,0,2,0
"59","30",1,0,0,47,0,5,7,"White",1.1334,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_5","pro_rep",0,1,0,1,2,0
"60","30",1,0,0,47,0,5,7,"White",1.1334,0,"Democrat",1,0,1,1,0,1,1,"headline_pro_dem_5","pro_dem",1,0,0,1,2,1
"61","31",0,0,0,57,1,3,7,"White",1.6966,0,"Republican",0,1,0,1,0,2,1,"headline_pro_dem_5","pro_dem",1,0,0,0,3,0
"62","31",0,0,0,57,1,3,7,"White",1.6966,0,"Republican",0,1,1,1,1,1,0,"headline_pro_rep_3","pro_rep",0,1,0,0,3,1
"63","32",1,0,0,76,1,2,3,"Non-White",0.1802,0,"Republican",0,1,0,1,1,1,1,"headline_pro_dem_2","pro_dem",1,0,0,0,2.5,0
"64","32",1,0,0,76,1,2,3,"Non-White",0.1802,0,"Republican",0,1,1,0,0,2,0,"headline_pro_rep_9","pro_rep",0,1,0,0,2.5,1
"65","33",0,1,0,59,1,3,6,"White",1.5983,0,"Republican",0,1,0,0,1,3,0,"headline_pro_dem_3","pro_dem",1,0,1,0,3.25,0
"66","33",0,1,0,59,1,3,6,"White",1.5983,0,"Republican",0,1,1,0,1,2,0,"headline_pro_rep_9","pro_rep",0,1,0,0,3.25,1
"67","34",1,1,1,56,0,4,6,"Non-White",0.3968,0,"Republican",0,1,0,0,1,3,0,"headline_pro_rep_8","pro_rep",0,1,1,0,4,1
"68","34",1,1,1,56,0,4,6,"Non-White",0.3968,0,"Republican",0,1,1,0,1,2,0,"headline_pro_dem_1","pro_dem",1,0,0,0,4,0
"69","35",0,0,0,59,1,3,5,"Non-White",0.5668,0,"Democrat",1,0,0,0,1,2,0,"headline_pro_dem_5","pro_dem",1,0,0,0,2.25,1
"70","35",0,0,0,59,1,3,5,"Non-White",0.5668,0,"Democrat",1,0,1,0,1,3,0,"headline_pro_rep_8","pro_rep",0,1,1,0,2.25,0
"71","36",0,0,0,52,0,2,4,"Non-White",0.7154,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_8","pro_rep",0,1,0,0,3,0
"72","36",0,0,0,52,0,2,4,"Non-White",0.7154,0,"Democrat",1,0,1,1,0,1,1,"headline_pro_dem_1","pro_dem",1,0,0,0,3,1
"73","37",1,0,0,39,0,2,6,"Non-White",0.9044,0,"Democrat",1,0,0,1,0,2,1,"headline_pro_dem_7","pro_dem",1,0,0,1,2.75,1
"74","37",1,0,0,39,0,2,6,"Non-White",0.9044,0,"Democrat",1,0,1,1,1,3,0,"headline_pro_rep_9","pro_rep",0,1,1,1,2.5,0
"75","38",0,0,0,78,0,5,6,"White",0.8551,0,"Democrat",1,0,0,0,1,1,0,"headline_pro_rep_1","pro_rep",0,1,0,0,3,0
"76","38",0,0,0,78,0,5,6,"White",0.8551,0,"Democrat",1,0,1,0,1,1,0,"headline_pro_dem_9","pro_dem",1,0,0,0,3,1
"77","39",1,0,0,74,1,2,2,"Non-White",0.4657,0,"Democrat",1,0,0,0,1,3,0,"headline_pro_rep_1","pro_rep",0,1,1,0,2,0
"78","39",1,0,0,74,1,2,2,"Non-White",0.4657,0,"Democrat",1,0,1,0,1,4,0,"headline_pro_dem_6","pro_dem",1,0,1,0,2,1
"79","40",1,0,0,55,0,3,3,"White",1.1234,0,"Republican",0,1,0,1,0,2,1,"headline_pro_rep_6","pro_rep",0,1,0,0,2.25,1
"80","40",1,0,0,55,0,3,3,"White",1.1234,0,"Republican",0,1,1,1,0,1,0,"headline_pro_dem_2","pro_dem",1,0,0,0,2.25,0
"81","41",1,1,0,84,0,3,5,"Non-White",0.8448,0,"Republican",0,1,0,0,1,3,0,"headline_pro_rep_3","pro_rep",0,1,1,0,2.5,1
"82","41",1,0,0,84,0,3,5,"Non-White",0.8448,0,"Republican",0,1,1,0,1,2,1,"headline_pro_dem_6","pro_dem",1,0,0,0,2.5,0
"83","42",0,0,0,53,0,2,4,"White",1.3345,0,"Democrat",1,0,0,1,0,3,0,"headline_pro_dem_9","pro_dem",1,0,1,0,4,1
"84","42",0,0,0,53,0,2,4,"White",1.3345,0,"Democrat",1,0,1,0,0,1,0,"headline_pro_rep_9","pro_rep",0,1,0,0,4,0
"85","43",0,0,0,58,0,5,5,"Non-White",0.1385,0,"Democrat",1,0,0,0,0,1,0,"headline_pro_rep_8","pro_rep",0,1,0,0,3,0
"86","43",0,0,0,58,0,5,5,"Non-White",0.1385,0,"Democrat",1,0,1,1,0,2,0,"headline_pro_dem_3","pro_dem",1,0,0,0,3,1
"87","44",1,1,1,62,0,2,5,"Non-White",0.2119,0,"Republican",0,1,0,0,1,1,0,"headline_pro_rep_3","pro_rep",0,1,0,0,2.25,1
"88","44",1,1,1,62,0,2,5,"Non-White",0.2119,0,"Republican",0,1,1,0,0,1,0,"headline_pro_dem_7","pro_dem",1,0,0,0,2.25,0
"89","45",1,0,0,73,1,2,4,"White",1.3243,0,"Democrat",1,0,0,0,0,2,1,"headline_pro_dem_2","pro_dem",1,0,0,0,3.75,1
"90","45",1,0,0,73,1,2,4,"White",1.3243,0,"Democrat",1,0,1,0,1,4,1,"headline_pro_rep_4","pro_rep",0,1,1,0,3.5,0
"91","46",1,0,0,27,1,4,6,"White",2.91,0,"Republican",0,1,0,0,0,2,0,"headline_pro_dem_9","pro_dem",1,0,0,0,1,0
"92","46",1,0,0,27,1,4,6,"White",2.91,0,"Republican",0,1,1,0,1,1,0,"headline_pro_rep_7","pro_rep",0,1,0,0,1,1
"93","47",0,0,0,78,1,2,7,"White",1.6177,0,"Republican",0,1,0,1,0,4,0,"headline_pro_dem_9","pro_dem",1,0,1,0,3.25,0
"94","47",0,0,0,78,1,2,7,"White",1.6177,0,"Republican",0,1,1,1,0,3,0,"headline_pro_rep_8","pro_rep",0,1,1,0,3.25,1
"95","48",1,1,1,51,1,3,4,"White",0.7513,1,"Democrat",1,0,0,0,1,2,1,"headline_pro_rep_1","pro_rep",0,1,0,0,2.5,0
"96","48",1,1,1,51,1,3,4,"White",0.7513,1,"Democrat",1,0,1,0,0,2,1,"headline_pro_dem_7","pro_dem",1,0,0,0,2.5,1
"97","49",1,0,0,50,1,5,5,"Non-White",0.3483,0,"Democrat",1,0,0,1,0,1,0,"headline_pro_dem_9","pro_dem",1,0,0,0,2.5,1
"98","49",1,0,0,50,1,5,5,"Non-White",0.3483,0,"Democrat",1,0,1,1,1,1,0,"headline_pro_rep_3","pro_rep",0,1,0,0,2.5,0
"99","50",0,0,0,78,1,2,5,"Non-White",0.261,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_5","pro_rep",0,1,0,0,3.5,0
"100","50",0,0,0,78,1,2,5,"Non-White",0.261,0,"Democrat",1,0,1,1,0,1,1,"headline_pro_dem_8","pro_dem",1,0,0,0,3.5,1
"101","51",1,0,0,71,0,3,3,"White",0.9839,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_2","pro_rep",0,1,0,0,3,0
"102","51",1,0,0,71,0,3,3,"White",0.9839,0,"Democrat",1,0,1,1,0,1,0,"headline_pro_dem_4","pro_dem",1,0,0,0,3,1
"103","52",1,0,0,51,0,3,7,"Non-White",0.5626,0,"Democrat",1,0,0,1,1,2,1,"headline_pro_dem_5","pro_dem",1,0,0,0,2.75,1
"104","52",1,0,0,51,0,3,7,"Non-White",0.5626,0,"Democrat",1,0,1,1,1,1,1,"headline_pro_rep_7","pro_rep",0,1,0,0,2.75,0
"105","53",0,0,0,53,1,2,2,"White",1.6168,0,"Republican",0,1,0,1,0,2,0,"headline_pro_dem_2","pro_dem",1,0,0,0,2,0
"106","53",0,0,0,53,1,2,2,"White",1.6168,0,"Republican",0,1,1,1,0,2,1,"headline_pro_rep_5","pro_rep",0,1,0,0,2,1
"107","54",1,0,0,83,0,4,7,"White",0.9974,0,"Republican",0,1,0,0,1,1,0,"headline_pro_rep_2","pro_rep",0,1,0,0,2.75,1
"108","54",1,0,0,83,0,4,7,"White",0.9974,0,"Republican",0,1,1,0,1,1,1,"headline_pro_dem_1","pro_dem",1,0,0,0,2.75,0
"109","55",1,0,0,47,1,5,7,"White",1.6741,0,"Republican",0,1,0,0,1,1,1,"headline_pro_dem_4","pro_dem",1,0,0,0,2,0
"110","55",1,0,0,47,1,5,7,"White",1.6741,0,"Republican",0,1,1,1,0,1,0,"headline_pro_rep_8","pro_rep",0,1,0,0,2,1
"111","56",1,0,0,45,1,5,7,"White",1.6741,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_8","pro_rep",0,1,0,0,2.5,0
"112","56",1,0,0,45,1,5,7,"White",1.6741,0,"Democrat",1,0,1,1,0,1,1,"headline_pro_dem_6","pro_dem",1,0,0,0,2.5,1
"113","57",0,0,1,70,1,3,2,"White",0.9548,0,"Democrat",1,0,0,1,0,2,0,"headline_pro_rep_7","pro_rep",0,1,0,0,2.25,0
"114","57",0,0,1,70,1,3,2,"White",0.9548,0,"Democrat",1,0,1,1,0,2,0,"headline_pro_dem_5","pro_dem",1,0,0,0,2.25,1
"115","58",1,0,0,59,0,5,6,"Non-White",0.3558,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_7","pro_rep",0,1,0,0,3.25,0
"116","58",1,0,0,59,0,5,6,"Non-White",0.3558,0,"Democrat",1,0,1,1,0,1,0,"headline_pro_dem_8","pro_dem",1,0,0,0,3.25,1
"117","59",0,0,1,80,0,3,4,"White",1.0225,0,"Republican",0,1,0,1,0,1,0,"headline_pro_rep_9","pro_rep",0,1,0,0,3,1
"118","59",0,0,0,80,0,3,4,"White",1.0225,0,"Republican",0,1,1,1,0,1,0,"headline_pro_dem_2","pro_dem",1,0,0,0,3,0
"119","60",0,0,0,84,0,4,6,"White",0.8687,0,"Republican",0,1,0,0,1,2,0,"headline_pro_dem_3","pro_dem",1,0,0,0,2.75,0
"120","60",0,0,0,84,0,4,6,"White",0.8687,0,"Republican",0,1,1,1,0,1,0,"headline_pro_rep_8","pro_rep",0,1,0,0,2.75,1
"121","61",0,0,0,60,0,3,6,"Non-White",0.4292,0,"Democrat",1,0,0,1,0,2,1,"headline_pro_rep_3","pro_rep",0,1,0,0,2.75,0
"122","61",0,0,0,60,0,3,6,"Non-White",0.4292,0,"Democrat",1,0,1,1,0,2,0,"headline_pro_dem_3","pro_dem",1,0,0,0,2.75,1
"123","62",0,0,0,52,0,3,7,"White",1.3439,0,"Republican",0,1,0,0,1,1,0,"headline_pro_dem_1","pro_dem",1,0,0,0,3,0
"124","62",0,0,0,52,0,3,7,"White",1.3439,0,"Republican",0,1,1,0,1,2,0,"headline_pro_rep_6","pro_rep",0,1,0,0,3,1
"125","63",0,0,0,56,0,5,7,"Non-White",0.1549,0,"Republican",0,1,0,0,0,2,1,"headline_pro_rep_1","pro_rep",0,1,0,0,4,1
"126","63",0,1,0,56,0,5,7,"Non-White",0.1549,0,"Republican",0,1,1,0,1,3,0,"headline_pro_dem_7","pro_dem",1,0,1,0,4,0
"127","64",1,0,0,68,0,3,7,"White",1.1548,0,"Republican",0,1,0,0,1,1,1,"headline_pro_dem_4","pro_dem",1,0,0,0,3.25,0
"128","64",1,0,0,68,0,3,7,"White",1.1548,0,"Republican",0,1,1,1,1,2,0,"headline_pro_rep_1","pro_rep",0,1,0,0,3.25,1
"129","65",1,0,0,20,0,3,5,"Non-White",1.1481,0,"Democrat",1,0,0,1,0,1,0,"headline_pro_rep_6","pro_rep",0,1,0,1,2,0
"130","65",1,0,0,20,0,3,5,"Non-White",1.1481,0,"Democrat",1,0,1,1,0,1,0,"headline_pro_dem_5","pro_dem",1,0,0,1,2,1
"131","66",1,0,0,72,1,3,3,"White",1.0192,0,"Republican",0,1,0,0,1,3,0,"headline_pro_rep_5","pro_rep",0,1,1,1,2.5,1
"132","66",1,0,0,72,1,3,3,"White",1.0192,0,"Republican",0,1,1,0,1,1,0,"headline_pro_dem_1","pro_dem",1,0,0,1,2.5,0
"133","67",0,0,1,67,1,3,5,"Non-White",0.1662,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_3","pro_rep",0,1,0,0,3.25,0
"134","67",0,0,1,67,1,3,5,"Non-White",0.1662,0,"Democrat",1,0,1,1,0,1,1,"headline_pro_dem_2","pro_dem",1,0,0,0,3.25,1
"135","68",1,0,0,60,1,4,5,"Non-White",0.1291,0,"Democrat",1,0,0,1,0,1,0,"headline_pro_dem_5","pro_dem",1,0,0,0,2.5,1
"136","68",1,0,0,60,1,4,5,"Non-White",0.1291,0,"Democrat",1,0,1,1,0,1,0,"headline_pro_rep_2","pro_rep",0,1,0,0,2.5,0
"137","69",1,0,0,61,1,4,6,"Non-White",0.2449,0,"Democrat",1,0,0,1,1,1,1,"headline_pro_rep_5","pro_rep",0,1,0,0,3,0
"138","69",1,0,0,61,1,4,6,"Non-White",0.2449,0,"Democrat",1,0,1,1,1,1,1,"headline_pro_dem_1","pro_dem",1,0,0,0,3,1
"139","70",1,1,1,65,1,3,6,"White",1.0789,0,"Republican",0,1,0,0,1,1,0,"headline_pro_rep_2","pro_rep",0,1,0,0,1.75,1
"140","70",1,1,1,65,1,3,6,"White",1.0789,0,"Republican",0,1,1,1,0,1,0,"headline_pro_dem_9","pro_dem",1,0,0,0,1.75,0
"141","71",1,0,0,68,0,3,4,"Non-White",0.2217,0,"Democrat",1,0,0,1,0,1,1,"headline_pro_rep_6","pro_rep",0,1,0,0,3,0
"142","71",1,0,0,68,0,3,4,"Non-White",0.2217,0,"Democrat",1,0,1,1,0,2,0,"headline_pro_dem_5","pro_dem",1,0,0,0,3,1
"143","72",1,0,0,65,1,5,4,"Non-White",0.1291,0,"Republican",0,1,0,0,1,1,0,"headline_pro_dem_7","pro_dem",1,0,0,0,3,0
"144","72",1,0,0,65,1,5,4,"Non-White",0.1291,0,"Republican",0,1,1,0,1,1,0,"headline_pro_rep_4","pro_rep",0,1,0,0,3,1
"145","73",1,0,0,54,0,3,6,"Non-White",0.2032,0,"Republican",0,1,0,0,0,2,0,"headline_pro_dem_3","pro_dem",1,0,0,0,3,0
"146","73",1,0,0,54,0,3,6,"Non-White",0.2032,0,"Republican",0,1,1,1,1,1,0,"headline_pro_rep_9","pro_rep",0,1,0,0,3,1
"147","74",0,0,0,52,1,3,5,"White",1.6413,0,"Democrat",1,0,0,1,1,1,1,"headline_pro_dem_3","pro_dem",1,0,0,1,2.75,1
"148","74",0,0,0,52,1,3,5,"White",1.6413,0,"Democrat",1,0,1,1,1,1,1,"headline_pro_rep_1","pro_rep",0,1,0,1,2.75,0
"149","75",0,0,0,81,1,3,3,"White",0.9712,0,"Republican",0,1,0,0,1,2,0,"headline_pro_rep_1","pro_rep",0,1,0,0,3.25,1
"150","75",0,0,0,81,1,3,3,"White",0.9712,0,"Republican",0,1,1,0,1,2,1,"headline_pro_dem_6","pro_dem",1,0,0,0,3.25,0
"151","76",0,0,1,60,0,4,6,"White",0.8687,0,"Republican",0,1,0,0,1,4,1,"headline_pro_rep_2","pro_rep",0,1,1,0,3.75,1
"152","76",0,0,1,60,0,4,6,"White",0.8687,0,"Republican",0,1,1,0,1,1,1,"headline_pro_dem_5","pro_dem",1,0,0,0,3.75,0
"153","77",1,1,1,68,1,3,3,"White",1.0505,0,"Republican",0,1,0,0,1,1,0,"headline_pro_rep_9","pro_rep",0,1,0,0,2,1
"154","77",1,1,1,68,1,3,3,"White",1.0505,0,"Republican",0,1,1,0,1,1,0,"headline_pro_dem_2","pro_dem",1,0,0,0,2,0
"155","78",1,0,0,46,0,4,6,"White",1.0677,0,"Republican",0,1,0,0,1,1,1,"headline_pro_dem_5","pro_dem",1,0,0,0,2,0
"156","78",1,0,0,46,0,4,6,"White",1.0677,0,"Republican",0,1,1,0,1,1,1,"headline_pro_rep_6","pro_rep",0,1,0,0,2,1
"157","79",1,0,0,63,0,3,7,"White",1.0933,0,"Republican",0,1,0,0,1,2,0,"headline_pro_rep_5","pro_rep",0,1,0,0,3,1
"158","79",1,0,0,63,0,3,7,"White",1.0933,0,"Republican",0,1,1,0,1,2,0,"headline_pro_dem_4","pro_dem",1,0,0,0,3,0
"159","80",1,0,0,62,0,3,3,"Non-White",0.4119,0,"Democrat",1,0,0,1,0,3,1,"headline_pro_rep_7","pro_rep",0,1,1,0,3.75,0
"160","80",1,0,0,62,0,3,3,"Non-White",0.4119,0,"Democrat",1,0,1,1,0,1,1,"headline_pro_dem_1","pro_dem",1,0,0,0,3.75,1
"161","81",1,0,0,77,1,2,6,"White",1.4295,0,"Democrat",1,0,0,0,1,2,0,"headline_pro_dem_7","pro_dem",1,0,0,0,2.75,1
"162","81",1,0,0,77,1,2,6,"White",1.4295,0,"Democrat",1,0,1,0,0,1,0,"headline_pro_rep_8","pro_rep",0,1,0,0,2.75,0
"163","82",1,0,0,74,0,3,6,"White",0.9374,0,"Republican",0,1,0,0,1,3,1,"headline_pro_dem_3","pro_dem",1,0,1,0,3.25,0
"164","82",1,0,0,74,0,3,6,"White",0.9374,0,"Republican",0,1,1,1,0,1,1,"headline_pro_rep_5","pro_rep",0,1,0,0,3.25,1
"165","83",1,0,0,58,0,5,6,"White",0.4416,1,"Republican",0,1,0,0,0,1,0,"headline_pro_rep_9","pro_rep",0,1,0,0,3.75,1
"166","83",1,0,0,58,0,5,6,"White",0.4416,1,"Republican",0,1,1,0,1,1,0,"headline_pro_dem_9","pro_dem",1,0,0,0,3.75,0
"167","84",1,0,0,65,1,5,7,"White",1.1123,0,"Democrat",1,0,0,1,0,1,0,"headline_pro_rep_9","pro_rep",0,1,0,0,3,0
"168","84",1,0,0,65,1,5,7,"White",1.1123,0,"Democrat",1,0,1,1,0,1,0,"headline_pro_dem_1","pro_dem",1,0,0,0,3,1
"169","85",1,0,0,54,0,4,7,"White",1.1209,0,"Republican",0,1,0,0,1,2,0,"headline_pro_rep_1","pro_rep",0,1,0,1,3.25,1
