id,accuracy_order,social_media_post_removed,social_media_post_flagged,age,gender,education,household_income,race,weight,hispanic,party_id,party_id_dem,party_id_rep,headline_order,remove,censorship,accuracy,harm,headline,headline_orientation,headline_pro_dem,headline_pro_rep,accuracy_binary,social_media_most_common_newsformat,political_interest,aligned
8,0,0,0,53,1,3,5,White,1.5007,0,Republican,0,1,0,0,1,NA,0,headline_pro_dem_3,pro_dem,1,0,NA,0,2.75,0
8,0,0,0,53,1,3,5,White,1.5007,0,Republican,0,1,1,0,1,NA,0,headline_pro_rep_6,pro_rep,0,1,NA,0,2.75,1
9,1,0,0,64,1,5,6,Non-White,0.1291,0,Democrat,1,0,0,1,0,1,1,headline_pro_dem_8,pro_dem,1,0,0,0,2.75,1
9,1,0,0,64,1,5,6,Non-White,0.1291,0,Democrat,1,0,1,1,0,1,1,headline_pro_rep_3,pro_rep,0,1,0,0,2.75,0
10,0,1,1,79,1,3,3,White,1.1147,0,Republican,0,1,0,NA,1,2,NA,headline_pro_rep_3,pro_rep,0,1,0,0,4,1
10,0,1,1,79,1,3,3,White,1.1147,0,Republican,0,1,1,NA,1,2,0,headline_pro_dem_5,pro_dem,1,0,0,0,4,0
11,1,0,0,52,1,4,6,White,1.333,0,Republican,0,1,0,1,0,2,1,headline_pro_rep_1,pro_rep,0,1,0,0,4,1
11,1,0,0,52,1,4,6,White,1.333,0,Republican,0,1,1,0,1,2,1,headline_pro_dem_1,pro_dem,1,0,0,0,4,0
12,0,NA,NA,55,1,3,7,White,1.6778,0,Republican,0,1,0,0,0,2,0,headline_pro_rep_6,pro_rep,0,1,0,0,2.25,1
12,0,NA,NA,55,1,3,7,White,1.6778,0,Republican,0,1,1,0,0,3,0,headline_pro_dem_6,pro_dem,1,0,1,0,2.25,0
13,0,0,0,60,0,5,7,Non-White,0.3009,0,Democrat,1,0,0,1,1,3,0,headline_pro_dem_6,pro_dem,1,0,1,0,3,1
13,0,0,0,60,0,5,7,Non-White,0.3009,0,Democrat,1,0,1,0,1,3,0,headline_pro_rep_1,pro_rep,0,1,1,0,3,0
14,1,0,0,72,0,4,4,White,0.8528,0,Republican,0,1,0,0,1,3,0,headline_pro_rep_1,pro_rep,0,1,1,0,3.75,1
14,1,0,0,72,0,4,4,White,0.8528,0,Republican,0,1,1,0,1,2,0,headline_pro_dem_1,pro_dem,1,0,0,0,3.75,0
15,1,0,0,66,1,2,3,White,1.2008,0,Republican,0,1,0,1,0,2,1,headline_pro_rep_7,pro_rep,0,1,0,0,1.5,1
15,1,0,0,66,1,2,3,White,1.2008,0,Republican,0,1,1,1,0,2,0,headline_pro_dem_4,pro_dem,1,0,0,0,1.5,0
16,0,0,0,58,1,3,7,White,1.6966,0,Republican,0,1,0,0,1,1,1,headline_pro_dem_6,pro_dem,1,0,0,NA,2,0
16,0,0,0,58,1,3,7,White,1.6966,0,Republican,0,1,1,0,1,1,1,headline_pro_rep_2,pro_rep,0,1,0,NA,2,1
17,1,0,0,81,0,4,6,White,0.9924,0,Republican,0,1,0,1,0,2,0,headline_pro_dem_9,pro_dem,1,0,0,0,3,0
17,1,0,0,81,0,4,6,White,0.9924,0,Republican,0,1,1,1,0,1,0,headline_pro_rep_7,pro_rep,0,1,0,0,3,1
18,0,1,1,79,1,4,3,White,0.886,0,Republican,0,1,0,0,1,4,0,headline_pro_rep_6,pro_rep,0,1,1,0,2.75,1
18,0,1,1,79,1,4,3,White,0.886,0,Republican,0,1,1,0,1,3,0,headline_pro_dem_9,pro_dem,1,0,1,0,2.75,0
19,1,0,0,71,0,4,6,White,0.9924,0,Republican,0,1,0,1,0,2,1,headline_pro_rep_3,pro_rep,0,1,0,0,3,1
19,1,0,0,71,0,4,6,White,0.9924,0,Republican,0,1,1,1,1,2,1,headline_pro_dem_9,pro_dem,1,0,0,0,3,0
20,1,0,0,52,1,4,6,White,1.458,0,Republican,0,1,0,0,1,1,0,headline_pro_rep_9,pro_rep,0,1,0,NA,2.75,1
20,1,0,0,52,1,4,6,White,1.458,0,Republican,0,1,1,0,1,1,0,headline_pro_dem_5,pro_dem,1,0,0,NA,2.75,0
21,1,0,0,72,0,2,4,White,1.2584,0,Republican,0,1,0,1,0,2,0,headline_pro_dem_9,pro_dem,1,0,0,0,2.5,0
21,1,0,0,72,0,2,4,White,1.2584,0,Republican,0,1,1,1,1,3,1,headline_pro_rep_6,pro_rep,0,1,1,0,2.5,1
22,0,0,0,82,1,3,4,Non-White,0.4001,0,Democrat,1,0,0,1,0,2,0,headline_pro_dem_8,pro_dem,1,0,0,0,2.75,1
22,0,0,0,82,1,3,4,Non-White,0.4001,0,Democrat,1,0,1,0,0,2,0,headline_pro_rep_9,pro_rep,0,1,0,0,2.75,0
23,0,NA,NA,59,1,3,5,Non-White,0.5706,0,Democrat,1,0,0,1,0,1,1,headline_pro_dem_6,pro_dem,1,0,0,0,3,1
23,0,NA,NA,59,1,3,5,Non-White,0.5706,0,Democrat,1,0,1,1,0,1,1,headline_pro_rep_4,pro_rep,0,1,0,0,3,0
24,1,0,0,48,1,5,6,Non-White,0.3392,0,Democrat,1,0,0,0,0,1,0,headline_pro_dem_7,pro_dem,1,0,0,0,2.75,1
24,1,0,0,48,1,5,6,Non-White,0.3392,0,Democrat,1,0,1,0,0,1,0,headline_pro_rep_5,pro_rep,0,1,0,0,2.75,0
25,1,NA,NA,51,0,1,7,White,1.0575,1,Democrat,1,0,0,1,0,1,1,headline_pro_rep_4,pro_rep,0,1,0,0,3,0
25,1,NA,NA,51,0,1,7,White,1.0575,1,Democrat,1,0,1,0,0,3,1,headline_pro_dem_3,pro_dem,1,0,1,0,3,1
26,1,0,0,63,1,5,4,Non-White,0.1291,0,Democrat,1,0,0,1,NA,1,1,headline_pro_rep_9,pro_rep,0,1,0,0,3.5,0
26,1,0,0,63,1,5,4,Non-White,0.1291,0,Democrat,1,0,1,0,0,1,1,headline_pro_dem_6,pro_dem,1,0,0,0,3.5,1
27,1,0,0,40,1,4,6,White,1.406,0,Democrat,1,0,0,1,0,1,0,headline_pro_rep_1,pro_rep,0,1,0,0,2.75,0
27,1,0,0,40,1,4,6,White,1.406,0,Democrat,1,0,1,1,0,2,0,headline_pro_dem_4,pro_dem,1,0,0,0,2.75,1
28,0,NA,NA,70,1,2,3,White,1.1821,0,Democrat,1,0,0,0,0,4,0,headline_pro_dem_2,pro_dem,1,0,1,0,3.25,1
28,0,NA,NA,70,1,2,3,White,1.1821,0,Democrat,1,0,1,0,1,4,0,headline_pro_rep_2,pro_rep,0,1,1,0,3.25,0
29,1,0,0,48,0,4,7,White,1.1334,0,Republican,0,1,0,NA,0,2,0,headline_pro_rep_7,pro_rep,0,1,0,0,2,1
29,1,0,0,48,0,4,7,White,1.1334,0,Republican,0,1,1,0,0,3,0,headline_pro_dem_6,pro_dem,1,0,1,0,2,0
30,1,0,0,47,0,5,7,White,1.1334,0,Democrat,1,0,0,1,0,1,1,headline_pro_rep_5,pro_rep,0,1,0,1,2,0
30,1,0,0,47,0,5,7,White,1.1334,0,Democrat,1,0,1,1,0,1,1,headline_pro_dem_5,pro_dem,1,0,0,1,2,1
31,0,0,0,57,1,3,7,White,1.6966,0,Republican,0,1,0,1,0,2,1,headline_pro_dem_5,pro_dem,1,0,0,0,3,0
31,0,0,0,57,1,3,7,White,1.6966,0,Republican,0,1,1,1,1,1,0,headline_pro_rep_3,pro_rep,0,1,0,0,3,1
32,1,0,0,76,1,2,3,Non-White,0.1802,0,Republican,0,1,0,1,0,1,1,headline_pro_dem_2,pro_dem,1,0,0,0,2.5,0
32,1,0,0,76,1,2,3,Non-White,0.1802,0,Republican,0,1,1,0,0,2,0,headline_pro_rep_9,pro_rep,0,1,0,0,2.5,1
33,0,1,0,59,1,3,6,White,1.5983,0,Republican,0,1,0,0,1,3,0,headline_pro_dem_3,pro_dem,1,0,1,0,3.25,0
33,0,1,0,59,1,3,6,White,1.5983,0,Republican,0,1,1,0,1,2,0,headline_pro_rep_9,pro_rep,0,1,0,0,3.25,1
34,1,1,1,56,0,4,6,Non-White,0.3968,0,Republican,0,1,0,0,1,3,0,headline_pro_rep_8,pro_rep,0,1,1,0,4,1
34,1,1,1,56,0,4,6,Non-White,0.3968,0,Republican,0,1,1,0,1,2,0,headline_pro_dem_1,pro_dem,1,0,0,0,4,0
35,0,0,0,59,1,3,5,Non-White,0.5668,0,Democrat,1,0,0,0,1,2,0,headline_pro_dem_5,pro_dem,1,0,0,0,2.25,1
35,0,0,0,59,1,3,5,Non-White,0.5668,0,Democrat,1,0,1,0,1,3,0,headline_pro_rep_8,pro_rep,0,1,1,0,2.25,0
36,0,0,0,52,0,2,4,Non-White,0.7154,0,Democrat,1,0,0,1,0,1,1,headline_pro_rep_8,pro_rep,0,1,0,0,3,0
36,0,0,0,52,0,2,4,Non-White,0.7154,0,Democrat,1,0,1,1,0,1,1,headline_pro_dem_1,pro_dem,1,0,0,0,3,1
37,1,NA,NA,39,0,2,6,Non-White,0.9044,0,Democrat,1,0,0,NA,NA,NA,NA,headline_pro_dem_7,pro_dem,1,0,NA,NA,NA,1
37,1,NA,NA,39,0,2,6,Non-White,0.9044,0,Democrat,1,0,1,NA,NA,NA,NA,headline_pro_rep_9,pro_rep,0,1,NA,NA,NA,0
38,0,0,0,78,0,5,6,White,0.8551,0,Democrat,1,0,0,0,1,1,0,headline_pro_rep_1,pro_rep,0,1,0,NA,3,0
38,0,0,0,78,0,5,6,White,0.8551,0,Democrat,1,0,1,0,1,1,0,headline_pro_dem_9,pro_dem,1,0,0,NA,3,1
39,1,0,0,74,1,2,2,Non-White,0.4657,0,Democrat,1,0,0,0,1,3,0,headline_pro_rep_1,pro_rep,0,1,1,0,2,0
39,1,0,0,74,1,2,2,Non-White,0.4657,0,Democrat,1,0,1,0,1,4,0,headline_pro_dem_6,pro_dem,1,0,1,0,2,1
40,1,0,0,55,0,3,3,White,1.1234,0,Republican,0,1,0,1,0,2,1,headline_pro_rep_6,pro_rep,0,1,0,0,2.25,1
40,1,0,0,55,0,3,3,White,1.1234,0,Republican,0,1,1,1,0,1,0,headline_pro_dem_2,pro_dem,1,0,0,0,2.25,0
41,1,NA,NA,84,0,3,5,Non-White,0.8448,0,Republican,0,1,0,0,1,3,0,headline_pro_rep_3,pro_rep,0,1,1,0,2.5,1
41,1,NA,NA,84,0,3,5,Non-White,0.8448,0,Republican,0,1,1,0,1,2,1,headline_pro_dem_6,pro_dem,1,0,0,0,2.5,0
42,0,0,0,53,0,2,4,White,1.3345,0,Democrat,1,0,0,1,0,3,0,headline_pro_dem_9,pro_dem,1,0,1,0,4,1
42,0,0,0,53,0,2,4,White,1.3345,0,Democrat,1,0,1,0,0,1,0,headline_pro_rep_9,pro_rep,0,1,0,0,4,0
43,0,0,0,58,0,5,5,Non-White,0.1385,0,Democrat,1,0,0,0,0,1,0,headline_pro_rep_8,pro_rep,0,1,0,0,3,0
43,0,0,0,58,0,5,5,Non-White,0.1385,0,Democrat,1,0,1,1,0,2,0,headline_pro_dem_3,pro_dem,1,0,0,0,3,1
44,1,1,1,62,0,2,5,Non-White,0.2119,0,Republican,0,1,0,0,1,1,0,headline_pro_rep_3,pro_rep,0,1,0,0,2.25,1
44,1,1,1,62,0,2,5,Non-White,0.2119,0,Republican,0,1,1,0,0,1,0,headline_pro_dem_7,pro_dem,1,0,0,0,2.25,0
45,1,NA,NA,73,1,2,4,White,1.3243,0,Democrat,1,0,0,NA,NA,NA,NA,headline_pro_dem_2,pro_dem,1,0,NA,NA,NA,1
45,1,NA,NA,73,1,2,4,White,1.3243,0,Democrat,1,0,1,NA,NA,NA,NA,headline_pro_rep_4,pro_rep,0,1,NA,NA,NA,0
46,1,0,0,27,1,4,6,White,2.91,0,Republican,0,1,0,0,0,2,0,headline_pro_dem_9,pro_dem,1,0,0,0,1,0
46,1,0,0,27,1,4,6,White,2.91,0,Republican,0,1,1,0,0,1,0,headline_pro_rep_7,pro_rep,0,1,0,0,1,1
47,0,NA,NA,78,1,2,7,White,1.6177,0,Republican,0,1,0,1,0,4,0,headline_pro_dem_9,pro_dem,1,0,1,0,3.25,0
47,0,NA,NA,78,1,2,7,White,1.6177,0,Republican,0,1,1,1,0,3,0,headline_pro_rep_8,pro_rep,0,1,1,0,3.25,1
48,1,NA,1,51,1,3,4,White,0.7513,1,Democrat,1,0,0,0,1,2,1,headline_pro_rep_1,pro_rep,0,1,0,0,2.5,0
48,1,NA,1,51,1,3,4,White,0.7513,1,Democrat,1,0,1,0,0,2,1,headline_pro_dem_7,pro_dem,1,0,0,0,2.5,1
49,1,NA,NA,50,1,5,5,Non-White,0.3483,0,Democrat,1,0,0,1,0,1,0,headline_pro_dem_9,pro_dem,1,0,0,0,2.5,1
49,1,NA,NA,50,1,5,5,Non-White,0.3483,0,Democrat,1,0,1,1,1,1,0,headline_pro_rep_3,pro_rep,0,1,0,0,2.5,0
50,0,0,0,78,1,2,5,Non-White,0.261,0,Democrat,1,0,0,1,0,1,1,headline_pro_rep_5,pro_rep,0,1,0,0,3.5,0
50,0,0,0,78,1,2,5,Non-White,0.261,0,Democrat,1,0,1,1,0,1,1,headline_pro_dem_8,pro_dem,1,0,0,0,3.5,1
51,1,0,0,71,0,3,3,White,0.9839,0,Democrat,1,0,0,1,0,1,1,headline_pro_rep_2,pro_rep,0,1,0,0,3,0
51,1,0,0,71,0,3,3,White,0.9839,0,Democrat,1,0,1,1,0,1,0,headline_pro_dem_4,pro_dem,1,0,0,0,3,1
52,1,0,0,51,0,3,7,Non-White,0.5626,0,Democrat,1,0,0,1,1,2,1,headline_pro_dem_5,pro_dem,1,0,0,0,2.75,1
52,1,0,0,51,0,3,7,Non-White,0.5626,0,Democrat,1,0,1,1,1,1,1,headline_pro_rep_7,pro_rep,0,1,0,0,2.75,0
53,0,0,0,53,1,2,2,White,1.6168,0,Republican,0,1,0,1,0,2,0,headline_pro_dem_2,pro_dem,1,0,0,0,2,0
53,0,0,0,53,1,2,2,White,1.6168,0,Republican,0,1,1,1,0,2,1,headline_pro_rep_5,pro_rep,0,1,0,0,2,1
54,1,0,0,83,0,4,7,White,0.9974,0,Republican,0,1,0,0,1,1,0,headline_pro_rep_2,pro_rep,0,1,0,0,2.75,1
54,1,0,0,83,0,4,7,White,0.9974,0,Republican,0,1,1,0,1,1,1,headline_pro_dem_1,pro_dem,1,0,0,0,2.75,0
55,1,0,0,47,1,5,7,White,1.6741,0,Republican,0,1,0,0,1,1,1,headline_pro_dem_4,pro_dem,1,0,0,0,2,0
55,1,0,0,47,1,5,7,White,1.6741,0,Republican,0,1,1,1,0,1,0,headline_pro_rep_8,pro_rep,0,1,0,0,2,1
56,1,0,0,45,1,5,7,White,1.6741,0,Democrat,1,0,0,1,0,1,1,headline_pro_rep_8,pro_rep,0,1,0,0,2.5,0
56,1,0,0,45,1,5,7,White,1.6741,0,Democrat,1,0,1,1,0,1,1,headline_pro_dem_6,pro_dem,1,0,0,0,2.5,1
57,0,0,1,70,1,3,2,White,0.9548,0,Democrat,1,0,0,1,0,2,0,headline_pro_rep_7,pro_rep,0,1,0,0,2.25,0
57,0,0,1,70,1,3,2,White,0.9548,0,Democrat,1,0,1,1,0,2,0,headline_pro_dem_5,pro_dem,1,0,0,0,2.25,1
58,1,NA,0,59,0,5,6,Non-White,0.3558,0,Democrat,1,0,0,1,0,1,1,headline_pro_rep_7,pro_rep,0,1,0,0,3.25,0
58,1,NA,0,59,0,5,6,Non-White,0.3558,0,Democrat,1,0,1,1,0,1,0,headline_pro_dem_8,pro_dem,1,0,0,0,3.25,1
59,0,NA,NA,80,0,3,4,White,1.0225,0,Republican,0,1,0,1,0,1,0,headline_pro_rep_9,pro_rep,0,1,0,0,3,1
59,0,NA,NA,80,0,3,4,White,1.0225,0,Republican,0,1,1,1,0,1,0,headline_pro_dem_2,pro_dem,1,0,0,0,3,0
60,0,NA,NA,84,0,4,6,White,0.8687,0,Republican,0,1,0,0,1,2,0,headline_pro_dem_3,pro_dem,1,0,0,0,2.75,0
60,0,NA,NA,84,0,4,6,White,0.8687,0,Republican,0,1,1,1,0,1,0,headline_pro_rep_8,pro_rep,0,1,0,0,2.75,1
61,0,NA,NA,60,0,3,6,Non-White,0.4292,0,Democrat,1,0,0,1,0,2,1,headline_pro_rep_3,pro_rep,0,1,0,0,2.75,0
61,0,NA,NA,60,0,3,6,Non-White,0.4292,0,Democrat,1,0,1,1,0,2,0,headline_pro_dem_3,pro_dem,1,0,0,0,2.75,1
62,0,0,0,52,0,3,7,White,1.3439,0,Republican,0,1,0,0,1,1,0,headline_pro_dem_1,pro_dem,1,0,0,0,3,0
62,0,0,0,52,0,3,7,White,1.3439,0,Republican,0,1,1,0,1,2,0,headline_pro_rep_6,pro_rep,0,1,0,0,3,1
63,0,NA,NA,56,0,5,7,Non-White,0.1549,0,Republican,0,1,0,0,0,2,1,headline_pro_rep_1,pro_rep,0,1,0,0,4,1
63,0,NA,NA,56,0,5,7,Non-White,0.1549,0,Republican,0,1,1,0,1,3,0,headline_pro_dem_7,pro_dem,1,0,1,0,4,0
64,1,0,0,68,0,3,7,White,1.1548,0,Republican,0,1,0,0,1,1,1,headline_pro_dem_4,pro_dem,1,0,0,0,3.25,0
64,1,0,0,68,0,3,7,White,1.1548,0,Republican,0,1,1,1,1,2,0,headline_pro_rep_1,pro_rep,0,1,0,0,3.25,1
65,1,0,0,20,0,3,5,Non-White,1.1481,0,Democrat,1,0,0,1,0,1,0,headline_pro_rep_6,pro_rep,0,1,0,1,2,0
65,1,0,0,20,0,3,5,Non-White,1.1481,0,Democrat,1,0,1,1,0,1,0,headline_pro_dem_5,pro_dem,1,0,0,1,2,1
66,1,0,0,72,1,3,3,White,1.0192,0,Republican,0,1,0,0,1,3,0,headline_pro_rep_5,pro_rep,0,1,1,1,2.5,1
66,1,0,0,72,1,3,3,White,1.0192,0,Republican,0,1,1,0,1,NA,0,headline_pro_dem_1,pro_dem,1,0,NA,1,2.5,0
67,0,0,1,67,1,3,5,Non-White,0.1662,0,Democrat,1,0,0,1,0,1,1,headline_pro_rep_3,pro_rep,0,1,0,0,3.25,0
67,0,0,1,67,1,3,5,Non-White,0.1662,0,Democrat,1,0,1,1,0,1,1,headline_pro_dem_2,pro_dem,1,0,0,0,3.25,1
68,1,0,0,60,1,4,5,Non-White,0.1291,0,Democrat,1,0,0,1,0,1,0,headline_pro_dem_5,pro_dem,1,0,0,0,2.5,1
68,1,0,0,60,1,4,5,Non-White,0.1291,0,Democrat,1,0,1,1,0,1,0,headline_pro_rep_2,pro_rep,0,1,0,0,2.5,0
69,1,0,0,61,1,4,6,Non-White,0.2449,0,Democrat,1,0,0,1,1,1,1,headline_pro_rep_5,pro_rep,0,1,0,0,3,0
69,1,0,0,61,1,4,6,Non-White,0.2449,0,Democrat,1,0,1,1,1,1,1,headline_pro_dem_1,pro_dem,1,0,0,0,3,1
70,1,1,1,65,1,3,6,White,1.0789,0,Republican,0,1,0,0,0,1,0,headline_pro_rep_2,pro_rep,0,1,0,0,1.75,1
70,1,1,1,65,1,3,6,White,1.0789,0,Republican,0,1,1,1,0,1,0,headline_pro_dem_9,pro_dem,1,0,0,0,1.75,0
71,1,NA,NA,68,0,3,4,Non-White,0.2217,0,Democrat,1,0,0,1,0,1,1,headline_pro_rep_6,pro_rep,0,1,0,0,3,0
71,1,NA,NA,68,0,3,4,Non-White,0.2217,0,Democrat,1,0,1,1,0,2,0,headline_pro_dem_5,pro_dem,1,0,0,0,3,1
72,1,0,0,65,1,5,4,Non-White,0.1291,0,Republican,0,1,0,0,1,1,0,headline_pro_dem_7,pro_dem,1,0,0,0,3,0
72,1,0,0,65,1,5,4,Non-White,0.1291,0,Republican,0,1,1,0,1,1,0,headline_pro_rep_4,pro_rep,0,1,0,0,3,1
73,1,0,0,54,0,3,6,Non-White,0.2032,0,Republican,0,1,0,0,0,2,0,headline_pro_dem_3,pro_dem,1,0,0,0,3,0
73,1,0,0,54,0,3,6,Non-White,0.2032,0,Republican,0,1,1,1,1,1,0,headline_pro_rep_9,pro_rep,0,1,0,0,3,1
74,0,NA,NA,52,1,3,5,White,1.6413,0,Democrat,1,0,0,1,1,1,1,headline_pro_dem_3,pro_dem,1,0,0,1,2.75,1
74,0,NA,NA,52,1,3,5,White,1.6413,0,Democrat,1,0,1,1,1,1,1,headline_pro_rep_1,pro_rep,0,1,0,1,2.75,0
75,0,0,0,81,1,3,3,White,0.9712,0,Republican,0,1,0,0,1,2,0,headline_pro_rep_1,pro_rep,0,1,0,0,3.25,1
75,0,0,0,81,1,3,3,White,0.9712,0,Republican,0,1,1,0,1,2,1,headline_pro_dem_6,pro_dem,1,0,0,0,3.25,0
76,0,0,1,60,0,4,6,White,0.8687,0,Republican,0,1,0,0,1,4,1,headline_pro_rep_2,pro_rep,0,1,1,0,3.75,1
76,0,0,1,60,0,4,6,White,0.8687,0,Republican,0,1,1,0,1,1,1,headline_pro_dem_5,pro_dem,1,0,0,0,3.75,0
77,1,1,1,68,1,3,3,White,1.0505,0,Republican,0,1,0,0,1,1,0,headline_pro_rep_9,pro_rep,0,1,0,0,2,1
77,1,1,1,68,1,3,3,White,1.0505,0,Republican,0,1,1,0,1,1,0,headline_pro_dem_2,pro_dem,1,0,0,0,2,0
78,1,NA,NA,46,0,4,6,White,1.0677,0,Republican,0,1,0,0,1,1,1,headline_pro_dem_5,pro_dem,1,0,0,0,2,0
78,1,NA,NA,46,0,4,6,White,1.0677,0,Republican,0,1,1,0,1,1,1,headline_pro_rep_6,pro_rep,0,1,0,0,2,1
79,1,0,0,63,0,3,7,White,1.0933,0,Republican,0,1,0,0,1,2,0,headline_pro_rep_5,pro_rep,0,1,0,0,3,1
79,1,0,0,63,0,3,7,White,1.0933,0,Republican,0,1,1,0,1,2,0,headline_pro_dem_4,pro_dem,1,0,0,0,3,0
80,1,0,0,62,0,3,3,Non-White,0.4119,0,Democrat,1,0,0,1,0,3,1,headline_pro_rep_7,pro_rep,0,1,1,0,3.75,0
80,1,0,0,62,0,3,3,Non-White,0.4119,0,Democrat,1,0,1,1,0,1,1,headline_pro_dem_1,pro_dem,1,0,0,0,3.75,1
81,1,0,0,77,1,2,6,White,1.4295,0,Democrat,1,0,0,0,1,2,0,headline_pro_dem_7,pro_dem,1,0,0,0,2.75,1
81,1,0,0,77,1,2,6,White,1.4295,0,Democrat,1,0,1,0,0,1,0,headline_pro_rep_8,pro_rep,0,1,0,0,2.75,0
82,1,0,0,74,0,3,6,White,0.9374,0,Republican,0,1,0,0,0,3,1,headline_pro_dem_3,pro_dem,1,0,1,0,3.25,0
82,1,0,0,74,0,3,6,White,0.9374,0,Republican,0,1,1,1,0,1,1,headline_pro_rep_5,pro_rep,0,1,0,0,3.25,1
83,1,0,0,58,0,5,6,White,0.4416,1,Republican,0,1,0,0,0,1,0,headline_pro_rep_9,pro_rep,0,1,0,0,3.75,1
83,1,0,0,58,0,5,6,White,0.4416,1,Republican,0,1,1,0,1,NA,0,headline_pro_dem_9,pro_dem,1,0,NA,0,3.75,0
84,1,0,0,65,1,5,7,White,1.1123,0,Democrat,1,0,0,1,0,1,0,headline_pro_rep_9,pro_rep,0,1,0,0,3,0
84,1,0,0,65,1,5,7,White,1.1123,0,Democrat,1,0,1,1,0,1,0,headline_pro_dem_1,pro_dem,1,0,0,0,3,1
85,1,0,0,54,0,4,7,White,1.1209,0,Republican,0,1,0,0,1,2,0,headline_pro_rep_1,pro_rep,0,1,0,1,3.25,1
85,1,0,0,54,0,4,7,White,1.1209,0,Republican,0,1,1,0,1,1,0,headline_pro_dem_8,pro_dem,1,0,0,1,3.25,0
86,1,1,1,58,1,3,5,White,1.5173,0,Republican,0,1,0,0,0,4,0,headline_pro_dem_3,pro_dem,1,0,1,0,1.75,0
86,1,1,1,58,1,3,5,White,1.5173,0,Republican,0,1,1,0,0,1,0,headline_pro_rep_9,pro_rep,0,1,0,0,1.75,1
87,0,1,1,70,1,3,2,Non-White,0.1439,0,Democrat,1,0,0,1,0,1,1,headline_pro_dem_1,pro_dem,1,0,0,0,3,1
87,0,1,1,70,1,3,2,Non-White,0.1439,0,Democrat,1,0,1,1,0,1,0,headline_pro_rep_5,pro_rep,0,1,0,0,3,0
88,1,NA,NA,61,0,3,5,White,0.9733,0,Republican,0,1,0,0,1,4,0,headline_pro_dem_5,pro_dem,1,0,1,0,3.5,0
88,1,NA,NA,61,0,3,5,White,0.9733,0,Republican,0,1,1,0,1,1,0,headline_pro_rep_9,pro_rep,0,1,0,0,3.5,1
89,1,0,0,78,1,2,6,White,1.4295,0,Democrat,1,0,0,0,0,2,0,headline_pro_rep_4,pro_rep,0,1,0,0,3.75,0
89,1,0,0,78,1,2,6,White,1.4295,0,Democrat,1,0,1,1,0,1,0,headline_pro_dem_8,pro_dem,1,0,0,0,3.75,1
90,1,0,0,48,1,4,6,Non-White,0.4141,0,Republican,0,1,0,1,1,2,1,headline_pro_rep_4,pro_rep,0,1,0,0,4,1
90,1,0,0,48,1,4,6,Non-White,0.4141,0,Republican,0,1,1,1,0,1,1,headline_pro_dem_6,pro_dem,1,0,0,0,4,0
91,0,1,1,48,1,3,3,Non-White,0.4991,0,Democrat,1,0,0,0,0,2,0,headline_pro_dem_8,pro_dem,1,0,0,0,3,1
